Comment,Description,Designator,Footprint,LibRef,Quantity

"22u tant","22uF 16V  ±10% 2.3? 1210  SMD Tantalum Capacitor","C1, C2","FP-TAJB-MFG","CMP-2100-03689-2","2"
"2u2","Chip Capacitor, 2.2 uF, +/- 10%, 50 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel","C3, C4","CAPC3216X180X50LL20T25","CMP-1037-04831-2","2"
"4u7","Multilayer Ceramic Capacitors 4.7µF ±10% 50V X5R SMD 0805","C5","FP-C2012-125-0_2-IPC_B","CMP-08246-000007-2","1"
"100n","CAP CER 0.1UF 10V X5R 0402","C6, C7, C8, C9, C10, C12, C13","FP-C0402-BB-MFG","CMP-2008-02046-2","7"
"1u","","C11","CAPC1608X87X35LL15T15","CMP-2006-03713-1","1"
"10p","Multilayer Ceramic Capacitor, C Series, 10 Pf, - 5%, C0G / Np0, 50 V, 0402 [1005 Metric] Rohs Compliant: Yes","C14, C15","FP-C0402-BB-MFG","CMP-2008-03404-2","2"
"GREEN_LED","LED GREEN CLEAR CHIP SMD","D1","FP-LTST-C190GKT-MFG","CMP-22017-000005-2","1"
"82402305","","D2","WE-TVS_SOT23-6L","CMP-1485-00003-2","1"
"RED_LED","LED, RED, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS1","VISH-TLMX1100_V","CMP-1666-00027-1","1"
"120R","Chip Ferrite Bead, 0805, 120? @ 100MHz, 0.03?, 25%, 3A","FB1","FP-BLM21-0_2-t0_85-e0_5-d-IPC_C","CMP-0686-00612-3","1"
"USB-C","CONN RCPT USB2.0 TYPE C 24POS RA","J1","FP-USB4085-GF-A-MFG","CMP-196119-000001-2","1"
"SWD_pinout","","J2","SWD_pinout","SWD_pinout","1"
"STM32F070CBT6","","MCU1","STM32F070CBT6","STM32F070CBT6","1"
"200R","RES Thick Film, 200?, 1%, 0.1W, 100ppm/°C, 0603","R1","FP-CRCW0603-e3-MFG","CMP-2000-03062-2","1"
"10k","Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R2, R3","RESC1609X50X30NL8T20","CMP-1666-00005-4","2"
"4k7","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R4, R5","RESC1608X55X25LL10T15","CMP-2000-06942-1","2"
"100R","","R6","FP-RC0603-0_55-MFG","CMP-2100-03663-2","1"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U1","FP-AMS1117-IPC_C","CMP-209535-000001-1","1"
"AS5600-ASOM","SENSOR ANGLE 360DEG SMD","U2","FP-AS5600-ASOM-IPC_C","CMP-22826-000002-1","1"
"TPD2EUSB30DRTR","ESD Solution for Super-Speed (6 Gbps) USB 3.0 Interface, 2 Channels, -40 to +85 degC, 3-pin SOT (DRT), Green (Rohs & No Sb/Br)","U3","DRT0003A","CMP-0326-00046-3","1"
"OT201616MJBA4SL","","Y1","OT201616MJBA4SL","OT201616MJBA4SL","1"
